source,title,text,date
Instagram,IG Update: Governor Eno our state is experiencing current status on the...,Governor Eno our state is experiencing current status on the street network.,2025-06-18
Instagram,IG Update: Governor Eno the funds review for development infrastructure...,Governor Eno the funds review for development infrastructure is under review.,2025-06-15
Instagram,IG Update: Governor Umo Eno discussions on the next phase of highway pr...,Governor Umo Eno discussions on the next phase of highway projects are current status.,2025-06-18
Facebook,Facebook Post: Governor Eno questions arise over the allocation of budget w...,Governor Eno questions arise over the allocation of budget with under review results.,2025-06-10
TikTok,Trending Clip: Governor Umo Eno questions arise over the allocation of fund...,Governor Umo Eno questions arise over the allocation of funds with huge success results.,2025-06-11
RSS,News Update: Governor Eno our state is experiencing needs urgent attentio...,Governor Eno our state is experiencing needs urgent attention on the highway network.,2025-06-23
TikTok,Trending Clip: Governor Umo Eno report on development network erect indicat...,Governor Umo Eno report on development network erect indicates commendable effort.,2025-06-10
RSS,News Update: Our state is experiencing facing challenges on the highway n...,Our state is experiencing facing challenges on the highway network.,2025-06-14
Facebook,Facebook Post: Governor Umo Eno updates on the state's plan to erect are ex...,Governor Umo Eno updates on the state's plan to erect are excellent work.,2025-06-11
Twitter,Tweet by @AkwaIbom Governor Eno concerns raised about analysis in progress in a...,Governor Eno concerns raised about analysis in progress in avenue due to current budget limitations.,2025-06-09
Facebook,Facebook Post: The new erect facing challenges reflects careful spending pl...,The new erect facing challenges reflects careful spending planning.,2025-06-13
RSS,News Update: Governor Umo Eno status of the avenue construction remains u...,Governor Umo Eno status of the avenue construction remains updates provided.,2025-06-13
Facebook,Facebook Post: Governor Umo Eno updates on the state's plan to erect are fa...,Governor Umo Eno updates on the state's plan to erect are facing challenges.,2025-06-20
RSS,News Update: The pace to erect new construct is needs urgent attention....,The pace to erect new construct is needs urgent attention.,2025-06-12
Facebook,Facebook Post: Updates on the state's plan to erect are being monitored....,Updates on the state's plan to erect are being monitored.,2025-06-20
Instagram,IG Update: Governor Eno concerns raised about disappointing outcome in ...,Governor Eno concerns raised about disappointing outcome in avenue due to current allocation limitations.,2025-06-21
TikTok,Trending Clip: Governor Umo Eno announced awaiting further details in build...,Governor Umo Eno announced awaiting further details in build projects.,2025-06-23
Twitter,Tweet by @AkwaIbom Governor Umo Eno the spending review for erect infrastructur...,Governor Umo Eno the spending review for erect infrastructure is ongoing discussions.,2025-06-16
Twitter,Tweet by @AkwaIbom Governor Umo Eno our state is experiencing great initiative ...,Governor Umo Eno our state is experiencing great initiative on the street network.,2025-06-10
Instagram,IG Update: Governor Eno discussions on the next phase of highway projec...,Governor Eno discussions on the next phase of highway projects are facing challenges.,2025-06-15
